Severity	Code	Description	Project	File	Line	Suppression State
Warning	SA1200	Using directive should appear within a namespace declaration	RLD	D:\Repositories\University\RLD\RLD\RLD\App.xaml.cs	1	Active
Warning	SA1633	The file header is missing or not located at the top of the file.	RLD	D:\Repositories\University\RLD\RLD\RLD\App.xaml.cs	1	Active
Warning	SA1200	Using directive should appear within a namespace declaration	RLD	D:\Repositories\University\RLD\RLD\RLD\App.xaml.cs	2	Active
Warning	SA1200	Using directive should appear within a namespace declaration	RLD	D:\Repositories\University\RLD\RLD\RLD\App.xaml.cs	3	Active
Warning	SA1200	Using directive should appear within a namespace declaration	RLD	D:\Repositories\University\RLD\RLD\RLD\App.xaml.cs	4	Active
Warning	SA1200	Using directive should appear within a namespace declaration	RLD	D:\Repositories\University\RLD\RLD\RLD\App.xaml.cs	5	Active
Warning	SA1200	Using directive should appear within a namespace declaration	RLD	D:\Repositories\University\RLD\RLD\RLD\App.xaml.cs	6	Active
Warning	SA1200	Using directive should appear within a namespace declaration	RLD	D:\Repositories\University\RLD\RLD\RLD\App.xaml.cs	7	Active
Warning	SA1633	The file header is missing or not located at the top of the file.	RLD	D:\Repositories\University\RLD\RLD\RLD\AssemblyInfo.cs	1	Active
Warning	SA1005	Single line comment should begin with a space.	RLD	D:\Repositories\University\RLD\RLD\RLD\AssemblyInfo.cs	4	Active
Warning	SA1005	Single line comment should begin with a space.	RLD	D:\Repositories\University\RLD\RLD\RLD\AssemblyInfo.cs	5	Active
Warning	SA1515	Single-line comment should be preceded by blank line	RLD	D:\Repositories\University\RLD\RLD\RLD\AssemblyInfo.cs	5	Active
Warning	SA1005	Single line comment should begin with a space.	RLD	D:\Repositories\University\RLD\RLD\RLD\AssemblyInfo.cs	7	Active
Warning	SA1005	Single line comment should begin with a space.	RLD	D:\Repositories\University\RLD\RLD\RLD\AssemblyInfo.cs	8	Active
Warning	SA1515	Single-line comment should be preceded by blank line	RLD	D:\Repositories\University\RLD\RLD\RLD\AssemblyInfo.cs	8	Active
Warning	SA1111	Closing parenthesis should be on line of last parameter	RLD	D:\Repositories\University\RLD\RLD\RLD\AssemblyInfo.cs	10	Active
Warning	SA1009	Closing parenthesis should not be preceded by a space.	RLD	D:\Repositories\University\RLD\RLD\RLD\AssemblyInfo.cs	10	Active
Warning	SA0001	XML comment analysis is disabled due to project configuration	RLD	D:\Repositories\University\RLD\RLD\RLD\CSC	1	Active
Warning	SA1633	The file header is missing or not located at the top of the file.	RLD	D:\Repositories\University\RLD\RLD\RLD\DAL\ApplicationContext.cs	1	Active
